,lddt,ost_rmsd,tm_score,modification,part
0,0.989909002503958,0.15021468698978424,0.9989401698112488,none,full
1,0.36037332456212484,15.158615112304688,0.2744797468185425,none,none
2,0.7323387622788821,11.063677787780762,0.7578351497650146,flattened,half
3,0.41452915901212173,16.081167221069336,0.3621615171432495,flattened,low
4,0.7653332799711844,11.127297401428223,0.7661378383636475,flattened,up
5,0.7653332799711844,11.127297401428223,0.7661378383636475,flattened,mean
6,0.7808005074823069,10.976310729980469,0.7694724798202515,randomized,half
7,0.32379003684807256,17.747150421142578,0.34110963344573975,randomized,low
8,0.7900686401852144,10.512834548950195,0.760623574256897,randomized,up
9,0.7900686401852144,10.512834548950195,0.760623574256897,randomized,mean
10,0.9670048327259287,0.42469945549964905,0.9917321801185608,rfdiff,half
11,0.6460038287288826,2.8424136638641357,0.8332853317260742,rfdiff,low
12,0.9346774774774774,0.9153023362159729,0.9764615893363953,rfdiff,up
13,0.9346774774774774,0.9153023362159729,0.9764615893363953,rfdiff,mean
14,0.980077457090267,0.32794812321662903,0.9949976801872253,rotated,half
15,0.417258629817519,16.915021896362305,0.4559696614742279,rotated,low
16,0.8553119776395474,10.156301498413086,0.7652177214622498,rotated,up
17,0.8553119776395474,10.156301498413086,0.7652177214622498,rotated,mean
